postal,address,block,street_name,max_floor_lvl,year_completed,building_age,town,total_dwelling_units,psm_2018,psm_2019,psm_2020,psm_2021,psm_2022,psm_2023,psm_2024,psm_2025,psm_2026,txn_5y,psm_growth_5y,nearest_station,stn_distance_m
85101,1A CANTONMENT RD,1A,CANTONMENT RD,50,2009,17,CENTRAL AREA,264,9177.0,10000.0,9925.0,10762.0,10274.5,10747.0,13625.5,13684.0,14717.0,39.0,43.2,OUTRAM PARK,447.0
85201,1B CANTONMENT RD,1B,CANTONMENT RD,50,2009,17,CENTRAL AREA,264,9171.0,9570.0,10743.0,10526.0,11452.0,12358.5,13321.0,13849.0,14947.0,41.0,30.5,OUTRAM PARK,474.0
85301,1C CANTONMENT RD,1C,CANTONMENT RD,50,2009,17,CENTRAL AREA,264,9405.5,9719.5,10526.0,10253.0,10794.0,11579.0,12597.5,14292.0,14759.0,61.0,36.7,TANJONG PAGAR,492.0
85401,1D CANTONMENT RD,1D,CANTONMENT RD,50,2009,17,CENTRAL AREA,264,9321.0,9819.0,9570.0,10743.0,10280.0,10406.0,13832.0,14391.0,14940.0,31.0,45.300000000000004,TANJONG PAGAR,505.0
85501,1E CANTONMENT RD,1E,CANTONMENT RD,50,2009,17,CENTRAL AREA,264,9892.0,9428.5,10042.5,9892.0,10633.0,12342.0,13158.0,13831.5,14108.5,40.0,32.7,TANJONG PAGAR,540.0
85601,1F CANTONMENT RD,1F,CANTONMENT RD,50,2009,17,CENTRAL AREA,264,9140.0,9892.0,10243.0,10377.0,10936.5,11763.5,12766.0,13823.0,14177.5,41.0,29.599999999999998,TANJONG PAGAR,542.0
85701,1G CANTONMENT RD,1G,CANTONMENT RD,50,2009,17,CENTRAL AREA,264,8737.0,9215.0,9793.0,9868.0,10389.5,11477.0,13737.0,14151.0,14587.0,53.0,40.400000000000006,TANJONG PAGAR,542.0
467010,10 CHAI CHEE RD,10,CHAI CHEE RD,15,1999,27,BEDOK,84,5389.0,5600.0,5556.0,5556.0,5566.5,6042.0,6343.5,7485.0,,9.0,,BEDOK,700.0
400010,10 EUNOS CRES,10,EUNOS CRES,16,1977,49,GEYLANG,180,5380.0,4478.0,5000.0,5044.0,5137.5,5950.5,6120.5,6901.0,6848.0,26.0,33.300000000000004,EUNOS,288.0
210010,10 GLOUCESTER RD,10,GLOUCESTER RD,14,1976,50,KALLANG/WHAMPOA,207,5605.5,5858.5,5403.0,5597.0,5884.5,6343.5,6530.0,6754.5,7798.5,22.0,32.5,FARRER PARK,282.0
430010,10 HAIG RD,10,HAIG RD,13,1976,50,GEYLANG,133,5408.0,4643.0,4785.0,4769.0,5077.0,5807.5,5692.0,6026.5,6154.0,15.0,21.2,PAYA LEBAR INTERCHANGE,480.0
